plotID,insitu_mortdmg_max,insitu_peak_year,insitu_spike,insitu_burn,insitu_insect,insitu_dead_max,insitu_dist,neon_event,neon_event_year,neon_event_type,remark_year,remark,remote_dist,remote_year,remote_sev,d_fire,d_loss,d_spec,neon_dist,neon_dist_year,neon_severity,neon_dist_type,disturbed,dist_year,severity,recency
BLAN_015,0.1206896551724138,2019.0,0.0452179570592062,0.0,0.0,0.1052631578947368,0,1,2018.0,flood,,0,0,,0.0,0.0,0.0,0.0,1,2018.0,0.1206896551724138,flood,1,2018.0,0.1206896551724138,7.0
BLAN_016,,,0.0,,,,0,1,2025.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.0,harvest,1,2025.0,0.0,0.0
BLAN_017,0.2571428571428571,2023.0,0.1781954887218045,0.0,0.0666666666666666,0.0476190476190476,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2023.0,0.2571428571428571,insect,0,,0.2571428571428571,
BLAN_018,0.3243243243243243,2019.0,0.2474012474012474,0.0,0.0,0.1891891891891892,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2019.0,0.3243243243243243,mortality,0,,0.3243243243243243,
BLAN_019,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_020,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_031,,,0.0,,,,0,1,2026.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_032,0.2358974358974359,2021.0,0.2358974358974359,0.0,0.0227272727272727,0.1048387096774193,0,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2021.0,0.2358974358974359,insect,0,,0.2358974358974359,
BLAN_033,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
BLAN_034,,,0.0,,,,0,1,2026.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_035,0.4868421052631578,2024.0,0.2011278195488721,0.0,0.0138888888888888,0.4736842105263157,1,0,,,,0,0,,0.0,0.0,0.0,0.0,0,2024.0,0.4868421052631578,insect,0,,0.4868421052631578,
BLAN_036,0.3934426229508196,2025.0,0.3008500303582271,0.0,0.0,0.3442622950819672,1,0,,,,0,0,,0.0,0.0,0.0,0.0,1,2025.0,0.3934426229508196,mortality,1,2025.0,0.3934426229508196,0.0
BLAN_037,,,0.0,,,,0,0,,,,0,1,2017.0,0.5129948113867615,0.0,0.0,1.0,0,,0.0,mortality,0,,0.0,
BLAN_038,,,0.0,,,,0,1,2026.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_039,,,0.0,,,,0,1,2026.0,harvest,,0,1,2017.0,0.6226387516653631,0.0,0.0,1.0,1,2026.0,0.0,harvest,1,2026.0,0.0,-1.0
BLAN_040,,,0.0,,,,0,1,2024.0,harvest,,0,0,,0.0,0.0,0.0,0.0,1,2024.0,0.0,harvest,1,2024.0,0.0,1.0
