plotID,sev_spec,spec_year,hansen_loss,hansen_lossyear,hansen_loss_frac,fire,fire_year,sev_loss,d_spec,d_loss,d_fire,disturbed,dist_year,recency,severity
MLBS_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_011,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_013,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_015,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_016,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_017,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_018,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_019,0.0,,0,0,0.0,1,2017,0.0,0,0,1,1,2017.0,8.0,0.0
MLBS_020,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_061,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_062,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_063,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_064,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_065,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_066,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_067,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_068,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_069,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_070,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_071,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_072,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_073,0.10975621177719064,2018.0,0,0,0.0,0,0,0.0,1,0,0,1,2018.0,7.0,0.10975621177719064
MLBS_074,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_075,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
MLBS_076,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_001,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_002,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_003,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_004,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_006,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_007,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_008,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_009,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_010,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_012,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
ORNL_014,0.0,,0,0,0.0,0,0,0.0,0,0,0,0,,,0.0
